Rank,Player,Team,Position,"Pool Geek Value","Games Played",W,SV%,GAA,G,A,+/-,PIM,SOG,PPP,HITS,BKS,FOW
284,"Jan Hejda",COL,D,24,13,,,,0,3,-7,7,13,0,26,27,0
285,"Ron Hainsey",WPG,D,24,14,,,,0,3,-4,4,14,0,17,32,0
286,"Patrik Berglund",STL,C,24,13,,,,5,3,-2,4,13,1,15,11,86
287,"Brendan Smith",DET,D,24,13,,,,0,2,-2,20,15,1,8,12,0
288,"Peter Mueller",FLA,C,24,15,,,,1,5,-8,4,67,1,9,4,12
289,"Sami Salo",TBL,D,24,12,,,,1,5,-1,8,10,1,11,15,0
290,"Jamie Benn",DAL,C,23,9,,,,0,8,0,4,16,0,24,10,69
291,"Tommy Wingels",SJS,C,23,11,,,,2,3,-2,11,20,1,28,10,1
292,"Ales Hemsky",EDM,RW,23,12,,,,1,5,1,6,31,1,1,3,0
293,"Brandon Sutter",PIT,C,23,14,,,,5,1,1,0,25,1,5,11,120
294,"Shawn Horcoff",EDM,C,23,9,,,,5,1,3,10,16,1,5,6,87
295,"Anton Stralman",NYR,D,23,14,,,,0,1,2,12,10,0,25,15,0
296,"Dany Heatley",MIN,RW,23,12,,,,2,5,-8,0,28,4,7,4,2
297,"Dalton Prout",CBJ,D,23,13,,,,0,1,3,9,6,0,25,20,0
298,"Trevor Daley",DAL,D,23,11,,,,3,1,5,0,22,1,10,12,0
299,"Kevin Klein",NSH,D,23,13,,,,1,2,2,7,10,0,16,21,0
300,"Casey Cizikas",NYI,C,22,13,,,,3,3,1,4,14,0,38,6,44
301,"Patrick Dwyer",CAR,RW,22,13,,,,2,2,7,2,21,0,14,6,1
302,"Jonas Brodin",MIN,D,22,12,,,,2,2,3,4,14,1,4,20,0
303,"Joe Corvo",CAR,D,22,10,,,,2,4,-1,2,20,3,8,6,0
304,"Toni Lydman",ANA,D,21,11,,,,0,2,3,4,11,0,25,19,0
305,"Kari Lehtonen",DAL,G,21,11,5,0.923,2.47,,,,,,,,,
306,"Carey Price",MTL,G,21,11,5,0.9175,2.135,,,,,,,,,
307,"Pekka Rinne",NSH,G,21,13,5,0.9135,2.245,,,,,,,,,
308,"Jake Allen",STL,G,21,7,5,0.9005,2.535,,,,,,,,,
309,"James Reimer",TOR,G,21,10,5,0.919,2.565,,,,,,,,,
310,"John Mitchell",COL,C,21,14,,,,3,3,-1,6,20,0,31,9,23
311,"Ryan Nugent-Hopkins",EDM,C,21,11,,,,1,8,-3,0,21,4,6,8,46
312,"Colin Fraser",LAK,C,21,15,,,,1,4,-1,9,9,0,42,7,41
313,"Brad Richards",NYR,C,21,12,,,,3,2,-1,2,31,2,6,8,92
314,"Brian Campbell",FLA,D,21,15,,,,1,6,-10,0,20,4,2,19,0
315,"Justin Faulk",CAR,D,21,10,,,,1,2,0,11,21,0,12,12,0
316,"Drew Miller",DET,LW,21,13,,,,2,1,-3,0,18,1,25,13,1
317,"Keith Aulie",TBL,D,20,13,,,,0,1,0,16,8,0,29,9,0
318,"Mikkel Boedker",PHX,LW,20,14,,,,2,3,-4,2,20,1,21,7,1
319,"Saku Koivu",ANA,C,20,14,,,,2,4,-2,6,11,2,14,2,152
320,"Dwight King",LAK,LW,20,15,,,,4,2,-2,5,20,0,17,3,1
321,"Andrew Cogliano",ANA,C,20,14,,,,5,3,8,0,25,0,15,5,6
322,"Michael Grabner",NYI,RW,20,10,,,,4,1,4,4,25,0,6,4,1
323,"Jerred Smithson",FLA,RW,19,14,,,,1,1,-1,2,9,0,31,9,73
324,"Patrick Bordeleau",COL,LW,19,12,,,,0,1,-1,19,7,0,31,0,0
325,"Emerson Etem",ANA,RW,19,14,,,,2,3,4,0,18,0,18,7,0
326,"Teddy Purcell",TBL,RW,19,13,,,,3,4,-5,4,13,4,5,3,0
327,"Matt Stajan",CGY,C,19,13,,,,0,8,2,2,9,0,21,8,107
328,"Jay McClement",TOR,C,19,13,,,,4,2,1,0,17,0,17,17,70
329,"Ryan Reaves",STL,RW,19,10,,,,1,0,2,14,8,0,31,2,0
330,"Jordan Leopold",BUF,D,19,8,,,,1,3,0,2,14,2,8,18,0
331,"Andre Benoit",OTT,D,19,10,,,,1,4,0,2,23,1,4,16,0
332,"Martin Havlat",SJS,RW,19,7,,,,1,4,2,14,15,1,1,2,0
333,"Steve Bernier",NJD,RW,18,13,,,,1,3,-4,2,31,1,21,3,2
334,"Douglas Murray",PIT,D,18,12,,,,0,1,-4,7,7,0,22,31,0
335,"Tyler Myers",BUF,D,18,13,,,,0,2,-4,8,12,1,17,22,0
336,"Johnny Boychuk",BOS,D,18,12,,,,0,2,-2,0,19,0,14,31,0
337,"Greg Zanon",COL,D,18,10,,,,0,3,0,8,8,0,12,24,0
338,"Raffi Torres",PHX,LW,18,14,,,,1,3,-2,4,20,0,26,4,3
339,"Clarke MacArthur",TOR,LW,17,11,,,,2,5,0,2,10,1,14,5,3
340,"Kevin Shattenkirk",STL,D,17,13,,,,0,4,0,0,21,1,16,14,0
341,"Thomas Vanek",BUF,LW,17,9,,,,4,2,2,2,21,2,0,1,1
342,"Dave Bolland",CHI,C,17,10,,,,0,5,0,6,17,2,17,6,67
343,"Francis Bouillon",MTL,D,16,13,,,,1,2,-1,4,9,0,26,18,0
344,"Jason Chimera",WSH,LW,16,14,,,,1,1,-3,10,25,0,18,4,7
345,"Tyler Kennedy",PIT,LW,16,13,,,,3,1,-5,9,30,1,4,3,4
346,"Daniel Paille",BOS,LW,16,15,,,,3,2,-1,2,23,0,21,1,0
347,"Karl Alzner",WSH,D,16,14,,,,0,3,3,4,9,0,11,23,0
348,"Steve Eminger",NYR,D,16,14,,,,0,0,1,4,9,0,26,24,0
349,"Jay Bouwmeester",CGY,D,16,13,,,,2,2,-5,4,13,1,15,20,0
350,"Radko Gudas",TBL,D,16,8,,,,1,0,2,2,13,0,32,14,0
351,"Pierre-Marc Bouchard",MIN,RW,16,9,,,,2,7,1,0,14,2,2,2,0
352,"Josh Gorges",MTL,D,15,13,,,,1,2,0,0,12,0,20,23,0
353,"Josh Bailey",NYI,LW,15,13,,,,4,1,2,2,23,0,9,3,6
354,"Niklas Hjalmarsson",CHI,D,15,11,,,,0,2,3,6,11,0,10,22,0
355,"Scott Gomez",SJS,C,15,14,,,,2,6,-6,6,22,3,1,5,77
356,"Andrej Sekera",BUF,D,15,8,,,,1,4,6,2,6,0,5,20,0
357,"Patrick Kaleta",BUF,RW,14,7,,,,0,0,-2,26,8,0,12,6,2
358,"Marian Hossa",CHI,RW,14,7,,,,4,2,5,2,18,1,4,0,0
359,"Vernon Fiddler",DAL,LW,14,11,,,,0,1,-2,11,15,0,11,8,62
360,"Stephen Gionta",NJD,RW,14,13,,,,1,2,1,2,14,0,26,3,41
361,"Matt Hunwick",COL,D,14,14,,,,0,3,-1,4,21,0,12,18,0
362,"Pierre-Cedric Labrie",TBL,LW,14,8,,,,0,1,0,19,8,0,19,2,0
363,"Tim Erixon",CBJ,D,13,12,,,,0,3,0,4,12,2,4,19,0
364,"Jamie McBain",CAR,D,13,13,,,,0,2,4,4,14,0,9,20,0
365,"Kevin Bieksa",VAN,D,13,10,,,,0,1,-2,12,19,0,18,11,0
366,"Mark Letestu",CBJ,C,12,13,,,,2,3,0,0,28,2,12,6,56
367,"Brian McGrattan",CGY,RW,12,11,,,,0,0,-5,32,6,0,13,2,0
368,"Rich Peverley",BOS,C,12,14,,,,2,5,-4,0,24,3,6,8,58
369,"Jonas Hiller",ANA,G,12,10,5,0.8965,2.875,,,,,,,,,
370,"Frazer McLaren",TOR,LW,12,11,,,,1,0,-1,21,4,0,15,4,2
371,"Anton Volchenkov",NJD,D,12,10,,,,1,2,3,6,10,0,20,9,0
372,"Kyle Brodziak",MIN,C,11,12,,,,4,1,-3,4,28,1,9,3,103
373,"Thomas Hickey",NYI,D,11,12,,,,0,2,6,0,13,0,8,22,0
374,"Gregory Campbell",BOS,C,11,15,,,,0,3,-1,12,15,0,23,9,55
375,"Maxim Lapierre",VAN,C,11,15,,,,1,1,-2,10,15,0,30,3,106
376,"Jordin Tootoo",DET,RW,10,10,,,,0,1,0,21,8,1,9,1,0
377,"Chris Higgins",VAN,LW,10,14,,,,4,0,-4,4,14,0,10,11,29
378,"Jordie Benn",DAL,D,10,10,,,,1,2,1,4,10,3,8,8,0
379,"Ryan Johansen",CBJ,C,10,13,,,,0,4,-1,6,23,1,8,8,95
380,"Andy Greene",NJD,D,10,13,,,,0,3,3,2,13,0,15,15,0
381,"Cam Fowler",ANA,D,10,14,,,,0,4,-5,0,25,1,7,19,0
382,"Matt Frattin",TOR,RW,10,9,,,,0,2,-1,2,19,0,29,6,1
383,"Artem Anisimov",CBJ,C,9,10,,,,4,2,0,2,20,1,4,8,91
384,"Alec Martinez",LAK,D,9,13,,,,0,3,2,2,11,1,15,13,0
385,"Deryk Engelland",PIT,D,9,11,,,,0,2,-3,7,8,0,23,18,0
386,"Radim Vrbata",PHX,RW,9,5,,,,2,3,1,0,15,3,5,1,0
387,"Olli Jokinen",WPG,C,9,15,,,,1,2,-8,4,20,0,37,8,98
388,"Drayson Bowman",CAR,LW,9,12,,,,1,1,1,5,9,0,21,9,0
389,"Chris Porter",STL,LW,9,12,,,,1,0,1,0,19,0,33,2,2
390,"Ondrej Palat",TBL,LW,8,12,,,,2,2,3,0,14,0,22,1,0
391,"Nicklas Grossmann",PHI,D,8,8,,,,0,1,-1,6,3,0,24,21,0
392,"Brandon Prust",MTL,LW,8,5,,,,2,2,4,5,7,0,13,4,1
393,"Daniel Cleary",DET,RW,8,13,,,,2,1,-1,4,21,1,12,3,3
394,"Victor Bartley",NSH,D,7,11,,,,0,2,3,6,9,0,16,13,0
395,"Jared Boll",CBJ,RW,7,13,,,,1,1,-2,15,7,0,19,4,0
396,"Tom Sestito",VAN,LW,7,14,,,,0,0,-2,24,5,0,17,0,0
397,"Erik Condra",OTT,RW,7,13,,,,0,3,0,8,19,0,6,8,3
398,"Drew Stafford",BUF,RW,7,11,,,,4,1,-3,2,26,0,12,1,8
399,"Colton Gillies",CBJ,LW,7,8,,,,1,1,1,4,10,0,25,5,0
400,"Rob Scuderi",LAK,D,6,15,,,,0,7,-2,0,6,0,9,20,0
401,"Mike Rupp",MIN,C,6,9,,,,0,2,0,28,11,0,10,5,4
402,"Jamie McGinn",COL,LW,5,13,,,,3,0,-7,2,34,0,16,3,1
403,"Matt Halischuk",NSH,RW,5,8,,,,2,3,4,2,15,0,5,5,0
404,"Korbinian Holzer",TOR,D,5,7,,,,0,1,-9,9,4,0,27,24,0
405,"Ryan O'Byrne",COL,D,5,12,,,,0,0,-7,11,7,0,31,16,0
406,"Corey Crawford",CHI,G,5,8,4,0.9325,1.74,,,,,,,,,
407,"Anton Khudobin",BOS,G,5,6,4,0.9105,2.5,,,,,,,,,
408,"Mike Smith",PHX,G,5,10,4,0.9025,2.805,,,,,,,,,
409,"Tuukka Rask",BOS,G,5,10,4,0.928,1.92,,,,,,,,,
410,"Ben Bishop",OTT,G,5,6,4,0.9315,2.245,,,,,,,,,
411,"TJ Brodie",CGY,D,4,13,,,,0,3,-5,4,13,2,5,18,0
412,"Ryan Carter",NJD,C,4,13,,,,1,4,-2,8,27,0,15,7,10
413,"Braydon Coburn",PHI,D,4,11,,,,0,0,-1,2,10,0,28,18,0
414,"Jeff Skinner",CAR,C,4,13,,,,2,2,-6,6,48,1,8,4,0
415,"Erik Gudbranson",FLA,D,4,13,,,,0,1,-11,8,20,0,32,12,0
416,"Brandon Yip",NSH,RW,4,10,,,,1,2,-1,9,11,0,17,3,0
417,"Joel Ward",WSH,RW,4,14,,,,0,4,-4,4,11,1,11,9,18
418,"Colby Robak",FLA,D,3,13,,,,0,1,0,17,11,0,4,10,0
419,"Damien Brunner",DET,RW,3,12,,,,0,5,-5,2,22,2,9,1,0
420,"Jonathan Ericsson",DET,D,3,13,,,,0,1,-1,11,12,0,17,9,0
421,"Boyd Gordon",PHX,C,3,14,,,,1,3,2,2,16,0,4,12,117
422,"Brian Lashoff",DET,D,3,12,,,,0,1,-4,11,9,0,15,17,0
423,"David Desharnais",MTL,C,3,13,,,,4,3,-2,2,17,0,5,7,104
424,"Nikita Nikitin",CBJ,D,3,11,,,,1,2,1,0,15,1,4,16,0
425,"Andrew Alberts",VAN,D,3,11,,,,0,1,1,8,6,0,17,14,0
426,"Jacob Markstrom",FLA,G,3,10,4,0.9165,2.875,,,,,,,,,
427,"Adam Larsson",NJD,D,3,12,,,,0,2,1,2,8,0,12,21,0
428,"Vladimir Tarasenko",STL,RW,2,6,,,,2,2,1,0,19,2,4,1,1
429,"Colby Armstrong",MTL,RW,2,13,,,,2,0,-1,6,15,0,13,8,0
430,"Peter Harrold",NJD,D,2,10,,,,2,1,-4,2,18,2,15,5,0
431,"Antti Miettinen",WPG,RW,2,14,,,,2,1,-3,2,17,0,25,3,0
432,"Mikael Backlund",CGY,C,2,9,,,,1,4,0,6,15,1,9,8,48
433,"Derek MacKenzie",CBJ,C,2,10,,,,1,2,-4,12,5,0,34,5,55
434,"Nail Yakupov",EDM,RW,2,13,,,,0,4,-2,6,13,1,12,2,0
435,"Simon Despres",PIT,D,1,10,,,,0,1,4,2,10,0,19,12,0
436,"Erik Cole",DAL,RW,1,11,,,,2,0,-5,4,18,0,17,10,4
437,"Cory Conacher",TBL,LW,1,13,,,,2,4,-5,4,14,0,11,4,0
438,"Matthew Carle",TBL,D,1,13,,,,0,2,0,0,17,0,5,22,0
439,"Alexei Ponikarovsky",NJD,LW,0,10,,,,0,1,-2,2,15,0,33,1,1
440,"Ryan Malone",TBL,LW,0,6,,,,1,1,0,2,12,1,20,1,2
441,"Dale Weise",VAN,RW,-1,12,,,,1,2,-2,5,11,0,24,1,0
442,"Craig Smith",NSH,C,-1,9,,,,0,4,-8,6,19,4,12,6,22
443,"Wade Redden",STL,D,-1,12,,,,0,3,4,4,11,0,3,12,0
444,"Tanner Glass",PIT,LW,-1,14,,,,0,0,-1,6,5,0,30,5,4
445,"Marc-Edouard Vlasic",SJS,D,-2,14,,,,0,1,0,0,16,0,5,24,0
446,"Michael Frolik",CHI,RW,-2,9,,,,2,2,1,2,19,0,1,6,6
447,"Bryce Salvador",NJD,D,-2,12,,,,0,1,-6,6,13,0,8,25,0
448,"Ryan Ellis",NSH,D,-2,10,,,,0,0,-3,11,17,0,13,10,0
449,"Jussi Jokinen",CAR,C,-2,11,,,,3,3,-1,4,24,1,2,5,31
450,"T.J. Oshie",STL,C,-3,10,,,,2,3,-4,8,23,1,6,10,0
451,"Bobby Sanguinetti",CAR,D,-3,9,,,,0,2,1,0,12,1,16,9,0
452,"David Booth",VAN,LW,-3,8,,,,1,2,-1,4,20,0,10,1,1
453,"Tim Jackman",CGY,RW,-3,12,,,,0,1,-3,12,7,0,21,3,3
454,"Ryan Jones",EDM,LW,-4,11,,,,1,2,-2,4,10,0,17,4,1
455,"Bobby Butler",NSH,RW,-4,11,,,,0,4,-2,4,13,2,6,0,0
456,"Sergei Kostitsyn",NSH,LW,-4,11,,,,1,3,0,0,9,1,7,6,3
457,"Ville Leino",BUF,LW,-4,7,,,,0,4,-1,6,9,1,5,2,2
458,"TJ Brennan",FLA,D,-4,9,,,,2,1,-3,2,11,2,6,10,0
459,"Riley Nash",CAR,C,-5,12,,,,3,3,4,2,15,0,10,1,51
460,"Jamie Oleksiak",DAL,D,-5,7,,,,0,1,-3,12,5,0,18,9,0
461,"Tyler Johnson",TBL,C,-5,7,,,,3,3,6,4,6,0,10,3,42
462,"Mathieu Perreault",WSH,C,-5,11,,,,3,2,2,6,11,1,7,2,50
463,"Nick Spaling",NSH,C,-5,12,,,,3,2,2,4,14,0,9,5,54
464,"David Schlemko",PHX,D,-5,8,,,,0,1,1,8,8,0,9,12,0
465,"Ruslan Fedotenko",PHI,LW,-5,11,,,,0,3,3,2,9,0,9,4,8
466,"Wojtek Wolski",WSH,LW,-5,5,,,,2,2,5,0,7,1,2,2,0
467,"Corey Potter",EDM,D,-6,8,,,,1,1,3,0,7,1,15,7,0
468,"Marcus Johansson",WSH,C,-6,10,,,,3,6,4,0,16,0,4,2,17
469,"Gabriel Dumont",MTL,C,-6,8,,,,0,2,0,13,13,0,16,6,28
470,"Steve Begin",CGY,LW,-6,11,,,,1,0,-3,5,6,0,21,5,23
471,"Chris Butler",CGY,D,-6,12,,,,0,1,-3,2,7,0,17,20,0
472,"Andrej Meszaros",PHI,D,-6,7,,,,0,2,-8,2,13,1,12,19,0
473,"Brenden Morrow",PIT,LW,-6,10,,,,1,0,-2,6,9,0,15,7,2
474,"Travis Moen",MTL,LW,-7,13,,,,0,0,-3,11,4,0,25,2,0
475,"Simon Gagne",PHI,LW,-7,11,,,,1,1,-4,4,18,1,5,5,1
476,"Steve Sullivan",PHX,LW,-8,14,,,,1,3,-6,2,17,2,6,0,0
477,"Michael Kostka",TOR,D,-8,8,,,,0,0,-2,4,13,0,16,14,0
478,"Alex Killorn",TBL,C,-8,10,,,,0,4,-3,8,18,0,21,6,2
479,"Andrew Shaw",CHI,C,-8,11,,,,2,1,0,7,15,1,11,3,43
480,"Jordan Schroeder",VAN,RW,-9,12,,,,1,3,1,0,7,0,3,6,42
481,"Jochen Hecht",BUF,C,-9,12,,,,2,1,3,4,17,0,7,10,27
482,"Chris Thorburn",WPG,RW,-9,11,,,,0,0,-4,16,5,0,18,1,3
483,"Matt Kassian",OTT,LW,-9,7,,,,1,0,1,7,2,0,17,3,0
484,"Eric Tangradi",WPG,C,-9,15,,,,1,1,-1,5,13,0,32,7,0
485,"Kyle Wellwood",WPG,C,-9,14,,,,2,4,-2,2,14,2,7,5,20
486,"Matthew Lombardi",PHX,C,-9,11,,,,2,1,0,4,22,0,11,6,40
487,"TJ Galiardi",SJS,LW,-10,8,,,,0,4,1,2,10,0,6,3,0
488,"Ian White",DET,D,-10,7,,,,1,1,6,2,6,0,5,9,1
489,"John Scott",BUF,LW,-10,5,,,,0,0,0,19,1,0,5,1,0
490,"Adam Burish",SJS,RW,-10,12,,,,1,0,-3,2,11,0,10,10,35
491,"J.t. Miller",NYR,C,-10,13,,,,0,0,-3,4,24,0,25,9,36
492,"Cam Barker",VAN,D,-11,6,,,,0,2,2,4,14,0,5,7,0
493,"Taylor Pyatt",NYR,LW,-11,14,,,,0,0,-4,0,15,0,24,7,0
494,"Johnny Oduya",CHI,D,-11,11,,,,2,1,-4,0,17,0,2,16,0
495,"Leo Komarov",TOR,C,-12,9,,,,0,1,0,2,13,0,38,6,6
496,"Peter Budaj",MTL,G,-12,3,3,0.9055,2.46,,,,,,,,,
497,"Ray Emery",CHI,G,-12,5,3,0.923,2.055,,,,,,,,,
498,"Devan Dubnyk",EDM,G,-12,11,3,0.9175,2.72,,,,,,,,,
499,"Jonathan Bernier",LAK,G,-12,5,3,0.927,1.79,,,,,,,,,
500,"Robin Lehner",OTT,G,-12,7,3,0.9485,1.97,,,,,,,,,
501,"Ilya Bryzgalov",PHI,G,-12,11,3,0.9005,2.76,,,,,,,,,
502,"Alexander Steen",STL,C,-12,7,,,,2,3,0,0,32,0,3,7,1
503,"James Sheppard",SJS,C,-12,13,,,,1,1,-6,6,18,0,32,7,1
504,"Aaron Palushaj",COL,RW,-12,11,,,,0,3,-5,4,13,0,13,5,0
505,"Jordan Caron",BOS,RW,-12,10,,,,0,2,1,4,6,0,13,4,0
506,"Mark Eaton",PIT,D,-12,12,,,,0,0,5,2,4,0,2,19,0
507,"Brandon Bollig",CHI,LW,-13,7,,,,0,0,0,7,14,0,11,1,0
508,"Bryan Allen",ANA,D,-13,8,,,,0,2,-5,9,2,0,8,16,0
509,"John Erskine",WSH,D,-13,4,,,,1,1,3,5,3,0,6,9,0
510,"Drew Shore",FLA,C,-13,15,,,,0,1,-8,8,25,0,16,6,80
511,"Kaspars Daugavins",OTT,LW,-13,5,,,,1,0,-1,9,8,0,7,2,6
512,"Ryan Miller",BUF,G,-13,11,3,0.914,2.87,,,,,,,,,
513,"Matt Read",PHI,RW,-14,9,,,,0,2,-4,0,14,1,8,8,5
514,"Ryan Smyth",EDM,LW,-14,13,,,,0,1,-2,0,14,0,5,8,41
515,"Peter Holland",ANA,C,-14,12,,,,2,1,4,0,17,0,11,3,56
516,"Michal Rozsival",CHI,D,-14,8,,,,0,1,3,4,5,0,12,7,0
517,"John-Michael Liles",TOR,D,-14,6,,,,0,1,0,2,8,0,13,11,0
518,"Vincent Lecavalier",TBL,C,-15,6,,,,1,4,1,2,12,0,7,4,68
519,"Adam Hall",CAR,RW,-15,9,,,,0,1,-1,0,4,0,23,6,11
520,"Justin Braun",SJS,D,-15,9,,,,0,2,-5,4,6,1,8,13,0
521,"Keith Ballard",VAN,D,-15,8,,,,0,1,1,2,14,0,14,4,0
522,"Ryan White",MTL,RW,-15,9,,,,0,0,-1,4,2,0,14,8,33
523,"Jack Hillen",WSH,D,-16,7,,,,0,0,0,8,7,0,6,11,0
524,"Eric Selleck",FLA,LW,-16,1,,,,0,0,0,17,1,0,4,0,0
525,"Andrew Desjardins",SJS,C,-16,13,,,,0,0,-4,16,14,0,21,4,12
526,"Torrey Mitchell",MIN,C,-16,12,,,,2,1,-2,9,14,0,9,10,0
527,"Jason Zucker",MIN,LW,-16,8,,,,1,1,4,2,10,0,4,0,0
528,"Zenon Konopka",MIN,C,-16,10,,,,0,0,-1,23,1,0,9,3,50
529,"Paul Bissonnette",PHX,LW,-16,6,,,,0,1,-1,9,5,0,9,2,0
530,"Andrei Loktionov",NJD,C,-16,11,,,,4,1,-4,2,15,2,4,3,34
531,"Tom Kostopoulos",NJD,RW,-17,10,,,,0,0,-1,6,8,0,17,2,3
532,"Alex Galchenyuk",MTL,C,-17,13,,,,0,3,2,4,20,0,10,6,2
533,"Patrick Eaves",DET,RW,-17,10,,,,0,2,0,2,9,0,11,3,5
534,"Taylor Beck",NSH,RW,-17,5,,,,1,2,1,0,15,0,3,2,2
535,"Radek Martinek",NYI,D,-17,7,,,,2,0,0,2,6,0,6,11,0
536,"Tomas Kundratek",WSH,D,-17,7,,,,1,1,0,2,9,0,4,11,0
537,"Jay Beagle",WSH,C,-17,14,,,,1,0,1,2,15,0,16,5,68
538,"Patric Hornqvist",NSH,RW,-17,5,,,,1,1,0,2,13,1,4,0,0
539,"Derek Meech",WPG,D,-17,11,,,,0,0,0,2,5,0,21,8,0
540,"Mikhail Grabovski",TOR,C,-18,13,,,,2,2,-6,0,22,1,7,4,74
541,"Kevin Porter",BUF,C,-18,13,,,,0,2,-4,2,11,1,20,8,47
542,"Matt D'Agostini",NJD,RW,-18,10,,,,0,1,0,0,11,0,12,6,0
543,"Kevin Westgarth",CAR,RW,-18,8,,,,0,0,0,12,3,0,9,1,0
544,"Scottie Upshall",FLA,RW,-19,7,,,,1,0,0,4,14,0,8,0,2
545,"Cory Emmerton",DET,C,-19,13,,,,1,2,0,0,16,1,5,7,49
546,"Semyon Varlamov",COL,G,-19,12,3,0.905,2.94,,,,,,,,,
547,"Justin Schultz",EDM,D,-19,13,,,,0,2,-7,2,13,2,3,9,0
548,"Jake Gardiner",TOR,D,-19,5,,,,0,2,3,0,5,1,3,7,0
549,"Dave Dziurzynski",OTT,LW,-20,5,,,,0,0,-2,9,5,0,10,3,0
550,"Marty Reasoner",NYI,C,-20,12,,,,0,2,2,2,19,0,9,3,55
551,"Jonathon Blum",NSH,D,-20,8,,,,0,2,1,4,8,0,4,6,0
552,"Tom Gilbert",MIN,D,-20,9,,,,0,1,-3,6,5,1,5,9,0
553,"Zack Kassian",VAN,RW,-20,8,,,,0,0,-3,7,10,0,16,0,3
554,"Tom Pyatt",TBL,C,-21,12,,,,2,0,0,0,22,0,5,11,28
555,"Adrian Aucoin",CBJ,D,-21,10,,,,0,0,0,6,9,0,13,3,0
556,"George Parros",FLA,RW,-21,9,,,,0,1,-3,5,5,0,15,4,0
557,"Keith Aucoin",NYI,C,-21,8,,,,1,3,-2,2,12,0,11,8,35
558,"Jay Pandolfo",BOS,LW,-21,12,,,,0,0,-2,2,5,0,14,8,1
559,"Zach Boychuk",NSH,LW,-21,5,,,,1,1,1,4,8,0,3,0,0
560,"Nolan Yonkman",FLA,D,-21,7,,,,0,0,-1,11,4,0,12,2,0
561,"Joey Crabb",WSH,RW,-21,8,,,,1,0,0,4,7,0,5,5,2
562,"David Jones",COL,RW,-22,10,,,,0,0,-3,0,16,0,16,4,1
563,"Joni Pitkanen",CAR,D,-22,7,,,,0,2,-4,2,10,0,6,12,0
564,"Brian Flynn",BUF,C,-22,12,,,,3,2,1,0,23,0,0,4,10
565,"Harrison Zolnierczyk",PHI,LW,-22,2,,,,0,0,0,15,0,0,1,0,0
566,"Jordan Nolan",LAK,C,-23,12,,,,1,1,-2,14,8,0,16,1,0
567,"Jimmy Hayes",CHI,RW,-23,6,,,,1,1,1,0,9,0,4,4,1
568,"Jason Demers",SJS,D,-23,8,,,,1,0,-1,2,10,0,8,7,0
569,"Aaron Volpatti",WSH,LW,-24,5,,,,0,1,1,5,1,0,9,1,0
570,"Patrick Maroon",ANA,LW,-24,4,,,,1,0,0,5,2,0,6,3,0
571,"Kyle Quincey",DET,D,-24,7,,,,0,1,-3,0,12,1,3,10,0
572,"Kyle Chipchura",PHX,C,-24,12,,,,0,2,-3,11,10,0,15,1,29
